baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC102725121	0	NA	NA	NA	NA
LOC105378947	0.113688117097568	0.00440811794480979	0.282159224610709	0.824174769898064	NA
LOC107984841	0.759767994550438	0.00231732248876287	0.281283798035607	0.892653015793849	NA
LOC107985728	1.19485487832087	0.0416971138984068	0.286149443817309	0.149266140478049	NA
LOC107985729	0.128143418820153	0.00458165208872988	0.282172188520725	0.819989508179706	NA
LOC105378949	7.6473009507431	-0.13414218126333	0.299227707643956	0.217862979338644	0.423206055048118
LOC100506504	21.2788471240609	0.118355687271217	0.265708720168715	0.362079496398005	0.581264033725208
LOC105378592	2.25040191657813	-0.00816474701107184	0.27454096164535	0.896843144100659	0.951386384511485
LOC107985734	7.52642615637178	0.0480991253112906	0.265933291333452	0.630250571641644	0.795950651901029
C1orf195	0.124140909078817	-0.00549299140126841	0.282197441677433	0.871716784612192	NA
ANO7P1	0.142238361297086	0.00579399963138011	0.282156920536346	0.820666228548774	NA
MST1L	0.833788427692188	-0.00656299252481963	0.281191185858083	0.847345371256745	NA
LOC107985103	0.915415657836748	0.0415309681689233	0.28499864351745	0.245264975104648	NA
LOC105378950	0	NA	NA	NA	NA
TMEM269	1.4124431060839	-0.0282362769274291	0.282189443073592	0.347240047536587	NA
LOC107983962	0.902113325321615	0.00287827890933545	0.281282859746305	0.938042287594415	NA
LOC101927844	0	NA	NA	NA	NA
LOC105378862	9.75959122094543	0.0160100449231642	0.253906190061827	0.887187264922096	0.947449932842804
LOC101928436	3.11691090476091	-0.0491679345819126	0.277916137698591	0.499711405281496	0.698147071260202
LOC107985184	1.64931317024071	0.00230509230357791	0.277350814064817	0.965651589515644	0.984415454466487
LINC01750	18.4581743478616	-0.36255442936126	0.461132619497045	0.0463618519005094	0.143714199313393
C1orf137	0	NA	NA	NA	NA
NBPF7	1.61078360952331	0.0324459704564169	0.28051850831179	0.497638251532045	0.696559555928241
LOC100996720	0.614315487364991	-0.00404563232945666	0.281996534920659	0.901922271683523	NA
LOC105369199	1.25754493808725	0.0107386573929301	0.278802652982419	0.797761273675062	NA
LOC100996721	0	NA	NA	NA	NA
LOC100996318	0.261433491845048	0.000855074417917158	0.282008687233134	0.973586553460874	NA
LOC107985199	0	NA	NA	NA	NA
LOC107983967	0	NA	NA	NA	NA
LOC107985108	0	NA	NA	NA	NA
LOC105369140	0.279773326470228	0.0100481193629477	0.282299412264157	0.687260878977087	NA
LOC388692	0.71243247502434	0.000126784113587795	0.281815020822963	0.967340500121895	NA
LOC100996713	0.119195130547962	-0.00533764764942696	0.282183939971429	0.875930952523344	NA
LOC107985109	0	NA	NA	NA	NA
LOC107985527	0	NA	NA	NA	NA
LOC105371215	0	NA	NA	NA	NA
LOC107985111	0	NA	NA	NA	NA
LOC107985528	0	NA	NA	NA	NA
LOC100996741	0	NA	NA	NA	NA
LOC105371303	1.64127855427393	0.0109729862920447	0.279081212263339	0.778598187443266	0.888851981995851
LOC101060254	1.11290761837219	-0.00524648349734883	0.279177200574613	0.928437059388568	NA
LOC100996517	0	NA	NA	NA	NA
LOC100996716	0	NA	NA	NA	NA
LOC653513	28.7788656952526	-0.0729377958018938	0.238848980961534	0.585082591397307	0.761644772782436
LOC107983947	40.5349903902661	-0.950770531389414	0.392730367066327	0.00091552593008066	0.00638138267750973
LOC100131107	0	NA	NA	NA	NA
LOC105371448	0	NA	NA	NA	NA
LOC101928120	4.89468981986293	0.014102907867843	0.269366416139109	0.85965530344155	0.933393277557584
POP3	0.119195130547962	-0.00533764764942696	0.282183939971429	0.875930952523344	NA
LOC105371598	0	NA	NA	NA	NA
