baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC102725121	0	NA	NA	NA	NA
LOC105378947	0	NA	NA	NA	NA
LOC107984841	0	NA	NA	NA	NA
LOC107985728	0.21453794103184	-0.000505545333892522	0.260706266486236	0.907691664368844	NA
LOC107985729	0	NA	NA	NA	NA
LOC105378949	0.674285778159514	0.00813494655016605	0.260576996516534	0.895899039396686	NA
LOC100506504	0	NA	NA	NA	NA
LOC105378592	0.314050647037037	-0.00524448511361654	0.260883777226113	0.686078348418522	NA
LOC107985734	0	NA	NA	NA	NA
C1orf195	0	NA	NA	NA	NA
ANO7P1	0	NA	NA	NA	NA
MST1L	0	NA	NA	NA	NA
LOC107985103	0.367364937813407	-0.00319566861053981	0.260712217722735	0.898517842459794	NA
LOC105378950	0	NA	NA	NA	NA
TMEM269	0	NA	NA	NA	NA
LOC107983962	0.405970729874899	-0.00610147597042259	0.260881926184059	0.632652656158093	NA
LOC101927844	0	NA	NA	NA	NA
LOC105378862	0.626395070827292	-0.00729823235260341	0.260671416645252	0.657388602077034	NA
LOC101928436	0.376023603680098	0.00339298143387695	0.260586699040166	0.939941780104708	NA
LOC107985184	0	NA	NA	NA	NA
LINC01750	2.06794033040941	-0.0521100652842776	0.264624731590281	0.224435411320656	0.496678892960523
C1orf137	0	NA	NA	NA	NA
NBPF7	0	NA	NA	NA	NA
LOC100996720	0.157025323518518	-0.00486481188249846	0.260855288887864	0.752893812470715	NA
LOC105369199	0.188351822461564	-0.00511635079451826	0.260874153099747	0.691580436769194	NA
LOC100996721	0	NA	NA	NA	NA
LOC100996318	0	NA	NA	NA	NA
LOC107985199	0	NA	NA	NA	NA
LOC107983967	0	NA	NA	NA	NA
LOC107985108	0.0986362503605219	0.00377421381352904	0.260820910024984	0.939201243083925	NA
LOC105369140	0	NA	NA	NA	NA
LOC388692	0	NA	NA	NA	NA
LOC100996713	0	NA	NA	NA	NA
LOC107985109	0	NA	NA	NA	NA
LOC107985527	0	NA	NA	NA	NA
LOC105371215	0	NA	NA	NA	NA
LOC107985111	0	NA	NA	NA	NA
LOC107985528	0	NA	NA	NA	NA
LOC100996741	0	NA	NA	NA	NA
LOC105371303	0	NA	NA	NA	NA
LOC101060254	0.277387353319576	-0.00105734445482677	0.260633115284911	0.900650021132958	NA
LOC100996517	0	NA	NA	NA	NA
LOC100996716	0	NA	NA	NA	NA
LOC653513	5.57798622784576	0.018008457153134	0.251739782267716	0.78643727266037	0.916236937003188
LOC107983947	0.392551467729006	0.00802707957496371	0.260888641944576	0.695884965193407	NA
LOC100131107	0	NA	NA	NA	NA
LOC105371448	0	NA	NA	NA	NA
LOC101928120	0.932135683018151	0.0125429793123012	0.260594220573428	0.740968437164841	NA
POP3	0	NA	NA	NA	NA
LOC105371598	0	NA	NA	NA	NA
LOC107985246	1.01051050012672	-0.0290586656524888	0.261375925614524	0.396422730398469	NA
LOC100505650	0	NA	NA	NA	NA
LOC105372883	0.0986362503605219	0.00377421381352904	0.260820910024984	0.939201243083925	NA
MIR205HG	0	NA	NA	NA	NA
LOC107985330	0	NA	NA	NA	NA
LOC105379282	0	NA	NA	NA	NA
LOC105373289	0.0759137040634452	0.00269156491129609	0.260768197234936	0.959525718483863	NA
LOC107985355	0	NA	NA	NA	NA
LOC101060022	0	NA	NA	NA	NA
LOC100506571	0	NA	NA	NA	NA
LOC101927401	0	NA	NA	NA	NA
BTNL10	0	NA	NA	NA	NA
LOC105373132	0.787804955529698	0.00994454567748093	0.260491983329201	0.797011207729666	NA
LOC107983951	0	NA	NA	NA	NA
C1orf229	0.288661454976906	0.00536998664907111	0.260852359719632	0.929560159346873	NA
LOC107985115	3.41400902567834	0.0444442187969976	0.259078560157858	0.445798775776226	0.707850467494331
OR2W5	0	NA	NA	NA	NA
LOC107987363	0	NA	NA	NA	NA
LOC107987364	0	NA	NA	NA	NA
LOC101927262	0	NA	NA	NA	NA
LOC100996637	0	NA	NA	NA	NA
LOC105373392	0	NA	NA	NA	NA
LOC107985837	0	NA	NA	NA	NA
LOC102723730	0	NA	NA	NA	NA
LOC105373395	0	NA	NA	NA	NA
LOC101926982	0	NA	NA	NA	NA
